L.A. Lakers,5.0
Dallas,5.5
Portland,3.4
Denver,3.7
Milwaukee,4.6
Houston,3.8
Detroit,2.2
Boston,4.8
Golden State,3.4
San Antonio,2.4
Philadelphia,2.7
Phoenix,2.2
Chicago,3.8
New Jersey,2.6
Sacramento,1.6
L.A. Clippers,2.8
Atlanta,2.0
Utah,2.1
Cleveland,4.8
Seattle,3.7
Indiana,1.7
Washington,5.0
New York,2.9
