76ers,18,2015
76ers,10,2016
76ers,28,2017
76ers,52,2018
76ers,51,2019
76ers,43,2020
76ers,49,2021
76ers,51,2022
76ers,54,2023
76ers,47,2024
Bucks,41,2015
Bucks,33,2016
Bucks,42,2017
Bucks,44,2018
Bucks,60,2019
Bucks,56,2020
Bucks,46,2021
Bucks,51,2022
Bucks,58,2023
Bucks,49,2024
Bulls,50,2015
Bulls,42,2016
Bulls,41,2017
Bulls,27,2018
Bulls,22,2019
Bulls,22,2020
Bulls,31,2021
Bulls,46,2022
Bulls,40,2023
Bulls,39,2024
Cavaliers,53,2015
Cavaliers,57,2016
Cavaliers,51,2017
Cavaliers,50,2018
Cavaliers,19,2019
Cavaliers,19,2020
Cavaliers,22,2021
Cavaliers,44,2022
Cavaliers,51,2023
Cavaliers,48,2024
Celtics,40,2015
Celtics,48,2016
Celtics,53,2017
Celtics,55,2018
Celtics,49,2019
Celtics,48,2020
Celtics,36,2021
Celtics,51,2022
Celtics,57,2023
Celtics,64,2024
Clippers,56,2015
Clippers,53,2016
Clippers,51,2017
Clippers,42,2018
Clippers,48,2019
Clippers,49,2020
Clippers,47,2021
Clippers,42,2022
Clippers,44,2023
Clippers,51,2024
Grizzlies,55,2015
Grizzlies,42,2016
Grizzlies,43,2017
Grizzlies,22,2018
Grizzlies,33,2019
Grizzlies,34,2020
Grizzlies,38,2021
Grizzlies,56,2022
Grizzlies,51,2023
Grizzlies,27,2024
Hawks,60,2015
Hawks,48,2016
Hawks,43,2017
Hawks,24,2018
Hawks,29,2019
Hawks,20,2020
Hawks,41,2021
Hawks,43,2022
Hawks,41,2023
Hawks,36,2024
Heat,37,2015
Heat,48,2016
Heat,41,2017
Heat,44,2018
Heat,39,2019
Heat,44,2020
Heat,40,2021
Heat,53,2022
Heat,44,2023
Heat,46,2024
Hornets,33,2015
Hornets,48,2016
Hornets,36,2017
Hornets,36,2018
Hornets,39,2019
Hornets,23,2020
Hornets,33,2021
Hornets,43,2022
Hornets,27,2023
Hornets,21,2024
Jazz,38,2015
Jazz,40,2016
Jazz,51,2017
Jazz,48,2018
Jazz,50,2019
Jazz,44,2020
Jazz,52,2021
Jazz,49,2022
Jazz,37,2023
Jazz,31,2024
Kings,29,2015
Kings,33,2016
Kings,32,2017
Kings,27,2018
Kings,39,2019
Kings,31,2020
Kings,31,2021
Kings,30,2022
Kings,48,2023
Kings,46,2024
Knicks,17,2015
Knicks,32,2016
Knicks,31,2017
Knicks,29,2018
Knicks,17,2019
Knicks,21,2020
Knicks,41,2021
Knicks,37,2022
Knicks,47,2023
Knicks,50,2024
Lakers,21,2015
Lakers,17,2016
Lakers,26,2017
Lakers,35,2018
Lakers,37,2019
Lakers,52,2020
Lakers,42,2021
